%
(G-code output for Bezier Surface generated from given 4x4 matrix)
(Generated by HARISHKUMAR LAXMIKANT GAJAKOSH)
(As a part of COMPUTER INTEGRATED MANUFACTURING Project)
(Guided By Prof RAKESH LINGAM
(Creation date: 22-May-2022 21:59:42)
(Spindle Speed	= 12000 RPM)
(Tool	= 1)
N1 G90
N2 G21
N3 	G00 	X1.00000 	Y5.00000 	Z2.50000 	F100
N4 	G01 	X1.00000 	Y5.00000 	Z1.00000
N1369 	G01 	X23.41065 	Y12.30053 	Z1.65125
N1370 	G01 	X24.00800 	Y12.30053 	Z1.63080
N1371 	G01 	X24.60583 	Y12.30053 	Z1.61205
N1372 	G01 	X25.20410 	Y12.30053 	Z1.59521
N1373 	G01 	X25.80274 	Y12.30053 	Z1.58047
N1374 	G01 	X26.40173 	Y12.30053 	Z1.56802
N1375 	G01 	X27.00100 	Y12.30053 	Z1.55806
N1376 	G01 	X27.60051 	Y12.30053 	Z1.55078
N1377 	G01 	X28.20022 	Y12.30053 	Z1.54638
N1378 	G01 	X28.80006 	Y12.30053 	Z1.54505
N1379 	G01 	X29.40001 	Y12.30053 	Z1.54699
N1380 	G01 	X30.00000 	Y12.30053 	Z1.55239

N1381 	G01 	X30.00000 	Y12.58132 	Z1.56654
N1382 	G01 	X29.40001 	Y12.58132 	Z1.56070
N1383 	G01 	X28.80006 	Y12.58132 	Z1.55830
N1384 	G01 	X28.20022 	Y12.58132 	Z1.55915
N1385 	G01 	X27.60051 	Y12.58132 	Z1.56304
N1386 	G01 	X27.00100 	Y12.58132 	Z1.56980
N1387 	G01 	X26.40173 	Y12.58132 	Z1.57923
N1388 	G01 	X25.80274 	Y12.58132 	Z1.59114
N1389 	G01 	X25.20410 	Y12.58132 	Z1.60533
N1390 	G01 	X24.60583 	Y12.58132 	Z1.62162
N1391 	G01 	X24.00800 	Y12.58132 	Z1.63981
N1392 	G01 	X23.41065 	Y12.58132 	Z1.65971
N1393 	G01 	X22.81382 	Y12.58132 	Z1.68113
N1394 	G01 	X22.21758 	Y12.58132 	Z1.70388
N1395 	G01 	X21.62195 	Y12.58132 	Z1.72776
N1396 	G01 	X21.02700 	Y12.58132 	Z1.75259
N1397 	G01 	X20.43277 	Y12.58132 	Z1.77817
N1398 	G01 	X19.83930 	Y12.58132 	Z1.80431
N1399 	G01 	X19.24666 	Y12.58132 	Z1.83081
N1400 	G01 	X18.65487 	Y12.58132 	Z1.85750
N1401 	G01 	X18.06400 	Y12.58132 	Z1.88417
N1402 	G01 	X17.47409 	Y12.58132 	Z1.91063
N1403 	G01 	X16.88518 	Y12.58132 	Z1.93669
N1404 	G01 	X16.29734 	Y12.58132 	Z1.96217
N1405 	G01 	X15.71059 	Y12.58132 	Z1.98686
N1406 	G01 	X15.12500 	Y12.58132 	Z2.01057
N1407 	G01 	X14.54061 	Y12.58132 	Z2.03312
N1408 	G01 	X13.95746 	Y12.58132 	Z2.05432
N1409 	G01 	X13.37562 	Y12.58132 	Z2.07396
N1410 	G01 	X12.79511 	Y12.58132 	Z2.09186
N1411 	G01 	X12.21600 	Y12.58132 	Z2.10783
N1412 	G01 	X11.63833 	Y12.58132 	Z2.12167
N1413 	G01 	X11.06214 	Y12.58132 	Z2.13320
N1414 	G01 	X10.48750 	Y12.58132 	Z2.14222
N1415 	G01 	X9.91443 	Y12.58132 	Z2.14853
N1416 	G01 	X9.34300 	Y12.58132 	Z2.15196
N1417 	G01 	X8.77325 	Y12.58132 	Z2.15230
N1418 	G01 	X8.20522 	Y12.58132 	Z2.14937
N1419 	G01 	X7.63898 	Y12.58132 	Z2.14296
N1420 	G01 	X7.07455 	Y12.58132 	Z2.13290
N1421 	G01 	X6.51200 	Y12.58132 	Z2.11899
N1422 	G01 	X5.95137 	Y12.58132 	Z2.10103
N1423 	G01 	X5.39270 	Y12.58132 	Z2.07884
N1424 	G01 	X4.83606 	Y12.58132 	Z2.05223
N1425 	G01 	X4.28147 	Y12.58132 	Z2.02099
N1426 	G01 	X3.72900 	Y12.58132 	Z1.98495
N1427 	G01 	X3.17869 	Y12.58132 	Z1.94390
N1428 	G01 	X2.63058 	Y12.58132 	Z1.89766
N1429 	G01 	X2.08474 	Y12.58132 	Z1.84603
N1430 	G01 	X1.54119 	Y12.58132 	Z1.78883
N1431 	G01 	X1.00000 	Y12.58132 	Z1.72585

N1432 	G01 	X1.00000 	Y12.86211 	Z1.75021
N1433 	G01 	X1.54119 	Y12.86211 	Z1.81104
N1434 	G01 	X2.08474 	Y12.86211 	Z1.86622
N1435 	G01 	X2.63058 	Y12.86211 	Z1.91596
N1436 	G01 	X3.17869 	Y12.86211 	Z1.96043
N1437 	G01 	X3.72900 	Y12.86211 	Z1.99984
N1438 	G01 	X4.28147 	Y12.86211 	Z2.03436
N1439 	G01 	X4.83606 	Y12.86211 	Z2.06418
N1440 	G01 	X5.39270 	Y12.86211 	Z2.08950
N1441 	G01 	X5.95137 	Y12.86211 	Z2.11050
N1442 	G01 	X6.51200 	Y12.86211 	Z2.12737
N1443 	G01 	X7.07455 	Y12.86211 	Z2.14030
N1444 	G01 	X7.63898 	Y12.86211 	Z2.14948
N1445 	G01 	X8.20522 	Y12.86211 	Z2.15509
N1446 	G01 	X8.77325 	Y12.86211 	Z2.15733
N1447 	G01 	X9.34300 	Y12.86211 	Z2.15638
N1448 	G01 	X9.91443 	Y12.86211 	Z2.15243
N1449 	G01 	X10.48750 	Y12.86211 	Z2.14567
N1450 	G01 	X11.06214 	Y12.86211 	Z2.13629
N1451 	G01 	X11.63833 	Y12.86211 	Z2.12448
N1452 	G01 	X12.21600 	Y12.86211 	Z2.11043
N1453 	G01 	X12.79511 	Y12.86211 	Z2.09431
N1454 	G01 	X13.37562 	Y12.86211 	Z2.07633
N1455 	G01 	X13.95746 	Y12.86211 	Z2.05668
N1456 	G01 	X14.54061 	Y12.86211 	Z2.03553
N1457 	G01 	X15.12500 	Y12.86211 	Z2.01308
N1458 	G01 	X15.71059 	Y12.86211 	Z1.98951
N1459 	G01 	X16.29734 	Y12.86211 	Z1.96503
N1460 	G01 	X16.88518 	Y12.86211 	Z1.93980
N1461 	G01 	X17.47409 	Y12.86211 	Z1.91403
N1462 	G01 	X18.06400 	Y12.86211 	Z1.88790
N1463 	G01 	X18.65487 	Y12.86211 	Z1.86160
N1464 	G01 	X19.24666 	Y12.86211 	Z1.83531
N1465 	G01 	X19.83930 	Y12.86211 	Z1.80924
N1466 	G01 	X20.43277 	Y12.86211 	Z1.78355
N1467 	G01 	X21.02700 	Y12.86211 	Z1.75845
N1468 	G01 	X21.62195 	Y12.86211 	Z1.73413
N1469 	G01 	X22.21758 	Y12.86211 	Z1.71076
N1470 	G01 	X22.81382 	Y12.86211 	Z1.68854
N1471 	G01 	X23.41065 	Y12.86211 	Z1.66766
N1472 	G01 	X24.00800 	Y12.86211 	Z1.64831
N1473 	G01 	X24.60583 	Y12.86211 	Z1.63067
N1474 	G01 	X25.20410 	Y12.86211 	Z1.61493
N1475 	G01 	X25.80274 	Y12.86211 	Z1.60129
N1476 	G01 	X26.40173 	Y12.86211 	Z1.58992
N1477 	G01 	X27.00100 	Y12.86211 	Z1.58102
N1478 	G01 	X27.60051 	Y12.86211 	Z1.57478
N1479 	G01 	X28.20022 	Y12.86211 	Z1.57139
N1480 	G01 	X28.80006 	Y12.86211 	Z1.57103
N1481 	G01 	X29.40001 	Y12.86211 	Z1.57389
N1482 	G01 	X30.00000 	Y12.86211 	Z1.58017

N1483 	G01 	X30.00000 	Y13.14290 	Z1.59327
N1484 	G01 	X29.40001 	Y13.14290 	Z1.58656
N1485 	G01 	X28.80006 	Y13.14290 	Z1.58324
N1486 	G01 	X28.20022 	Y13.14290 	Z1.58312
N1487 	G01 	X27.60051 	Y13.14290 	Z1.58601
N1488 	G01 	X27.00100 	Y13.14290 	Z1.59173
N1489 	G01 	X26.40173 	Y13.14290 	Z1.60010
N1490 	G01 	X25.80274 	Y13.14290 	Z1.61092
N1491 	G01 	X25.20410 	Y13.14290 	Z1.62403
N1492 	G01 	X24.60583 	Y13.14290 	Z1.63921
N1493 	G01 	X24.00800 	Y13.14290 	Z1.65631
N1494 	G01 	X23.41065 	Y13.14290 	Z1.67512
N1495 	G01 	X22.81382 	Y13.14290 	Z1.69546
N1496 	G01 	X22.21758 	Y13.14290 	Z1.71715
N1497 	G01 	X21.62195 	Y13.14290 	Z1.74001
N1498 	G01 	X21.02700 	Y13.14290 	Z1.76384
N1499 	G01 	X20.43277 	Y13.14290 	Z1.78846
N1500 	G01 	X19.83930 	Y13.14290 	Z1.81369
N1501 	G01 	X19.24666 	Y13.14290 	Z1.83934
N1502 	G01 	X18.65487 	Y13.14290 	Z1.86523
N1503 	G01 	X18.06400 	Y13.14290 	Z1.89117
N1504 	G01 	X17.47409 	Y13.14290 	Z1.91698
N1505 	G01 	X16.88518 	Y13.14290 	Z1.94246
N1506 	G01 	X16.29734 	Y13.14290 	Z1.96744
N1507 	G01 	X15.71059 	Y13.14290 	Z1.99173
N1508 	G01 	X15.12500 	Y13.14290 	Z2.01515
N1509 	G01 	X14.54061 	Y13.14290 	Z2.03750
N1510 	G01 	X13.95746 	Y13.14290 	Z2.05861
N1511 	G01 	X13.37562 	Y13.14290 	Z2.07829
N1512 	G01 	X12.79511 	Y13.14290 	Z2.09636
N1513 	G01 	X12.21600 	Y13.14290 	Z2.11262
N1514 	G01 	X11.63833 	Y13.14290 	Z2.12689
N1515 	G01 	X11.06214 	Y13.14290 	Z2.13900
N1516 	G01 	X10.48750 	Y13.14290 	Z2.14874
N1517 	G01 	X9.91443 	Y13.14290 	Z2.15595
N1518 	G01 	X9.34300 	Y13.14290 	Z2.16042
N1519 	G01 	X8.77325 	Y13.14290 	Z2.16198
N1520 	G01 	X8.20522 	Y13.14290 	Z2.16045
N1521 	G01 	X7.63898 	Y13.14290 	Z2.15563
N1522 	G01 	X7.07455 	Y13.14290 	Z2.14735
N1523 	G01 	X6.51200 	Y13.14290 	Z2.13541
N1524 	G01 	X5.95137 	Y13.14290 	Z2.11963
N1525 	G01 	X5.39270 	Y13.14290 	Z2.09982
N1526 	G01 	X4.83606 	Y13.14290 	Z2.07581
N1527 	G01 	X4.28147 	Y13.14290 	Z2.04740
N1528 	G01 	X3.72900 	Y13.14290 	Z2.01442
N1529 	G01 	X3.17869 	Y13.14290 	Z1.97666
N1530 	G01 	X2.63058 	Y13.14290 	Z1.93396
N1531 	G01 	X2.08474 	Y13.14290 	Z1.88612
N1532 	G01 	X1.54119 	Y13.14290 	Z1.83296
N1533 	G01 	X1.00000 	Y13.14290 	Z1.77430

N1534 	G01 	X1.00000 	Y13.42369 	Z1.79809
N1535 	G01 	X1.54119 	Y13.42369 	Z1.85460
N1536 	G01 	X2.08474 	Y13.42369 	Z1.90572
N1537 	G01 	X2.63058 	Y13.42369 	Z1.95166
N1538 	G01 	X3.17869 	Y13.42369 	Z1.99258
N1539 	G01 	X3.72900 	Y13.42369 	Z2.02868
N1540 	G01 	X4.28147 	Y13.42369 	Z2.06013
N1541 	G01 	X4.83606 	Y13.42369 	Z2.08711
N1542 	G01 	X5.39270 	Y13.42369 	Z2.10982
N1543 	G01 	X5.95137 	Y13.42369 	Z2.12842
N1544 	G01 	X6.51200 	Y13.42369 	Z2.14310
N1545 	G01 	X7.07455 	Y13.42369 	Z2.15404
N1546 	G01 	X7.63898 	Y13.42369 	Z2.16143
N1547 	G01 	X8.20522 	Y13.42369 	Z2.16545
N1548 	G01 	X8.77325 	Y13.42369 	Z2.16628
N1549 	G01 	X9.34300 	Y13.42369 	Z2.16409
N1550 	G01 	X9.91443 	Y13.42369 	Z2.15908
N1551 	G01 	X10.48750 	Y13.42369 	Z2.15143
N1552 	G01 	X11.06214 	Y13.42369 	Z2.14131
N1553 	G01 	X11.63833 	Y13.42369 	Z2.12891
N1554 	G01 	X12.21600 	Y13.42369 	Z2.11441
N1555 	G01 	X12.79511 	Y13.42369 	Z2.09799
N1556 	G01 	X13.37562 	Y13.42369 	Z2.07984
N1557 	G01 	X13.95746 	Y13.42369 	Z2.06014
N1558 	G01 	X14.54061 	Y13.42369 	Z2.03906
N1559 	G01 	X15.12500 	Y13.42369 	Z2.01679
N1560 	G01 	X15.71059 	Y13.42369 	Z1.99352
N1561 	G01 	X16.29734 	Y13.42369 	Z1.96942
N1562 	G01 	X16.88518 	Y13.42369 	Z1.94468
N1563 	G01 	X17.47409 	Y13.42369 	Z1.91948
N1564 	G01 	X18.06400 	Y13.42369 	Z1.89399
N1565 	G01 	X18.65487 	Y13.42369 	Z1.86841
N1566 	G01 	X19.24666 	Y13.42369 	Z1.84291
N1567 	G01 	X19.83930 	Y13.42369 	Z1.81768
N1568 	G01 	X20.43277 	Y13.42369 	Z1.79290
N1569 	G01 	X21.02700 	Y13.42369 	Z1.76875
N1570 	G01 	X21.62195 	Y13.42369 	Z1.74541
N1571 	G01 	X22.21758 	Y13.42369 	Z1.72307
N1572 	G01 	X22.81382 	Y13.42369 	Z1.70190
N1573 	G01 	X23.41065 	Y13.42369 	Z1.68208
N1574 	G01 	X24.00800 	Y13.42369 	Z1.66381
N1575 	G01 	X24.60583 	Y13.42369 	Z1.64726
N1576 	G01 	X25.20410 	Y13.42369 	Z1.63262
N1577 	G01 	X25.80274 	Y13.42369 	Z1.62006
N1578 	G01 	X26.40173 	Y13.42369 	Z1.60977
N1579 	G01 	X27.00100 	Y13.42369 	Z1.60193
N1580 	G01 	X27.60051 	Y13.42369 	Z1.59672
N1581 	G01 	X28.20022 	Y13.42369 	Z1.59432
N1582 	G01 	X28.80006 	Y13.42369 	Z1.59492
N1583 	G01 	X29.40001 	Y13.42369 	Z1.59870
N1584 	G01 	X30.00000 	Y13.42369 	Z1.60584

N1585 	G01 	X30.00000 	Y13.70448 	Z1.61789
N1586 	G01 	X29.40001 	Y13.70448 	Z1.61032
N1587 	G01 	X28.80006 	Y13.70448 	Z1.60609
N1588 	G01 	X28.20022 	Y13.70448 	Z1.60502
N1589 	G01 	X27.60051 	Y13.70448 	Z1.60692
N1590 	G01 	X27.00100 	Y13.70448 	Z1.61162
N1591 	G01 	X26.40173 	Y13.70448 	Z1.61894
N1592 	G01 	X25.80274 	Y13.70448 	Z1.62870
N1593 	G01 	X25.20410 	Y13.70448 	Z1.64072
N1594 	G01 	X24.60583 	Y13.70448 	Z1.65483
N1595 	G01 	X24.00800 	Y13.70448 	Z1.67084
N1596 	G01 	X23.41065 	Y13.70448 	Z1.68857
N1597 	G01 	X22.81382 	Y13.70448 	Z1.70785
N1598 	G01 	X22.21758 	Y13.70448 	Z1.72851
N1599 	G01 	X21.62195 	Y13.70448 	Z1.75035
N1600 	G01 	X21.02700 	Y13.70448 	Z1.77320
N1601 	G01 	X20.43277 	Y13.70448 	Z1.79688
N1602 	G01 	X19.83930 	Y13.70448 	Z1.82122
N1603 	G01 	X19.24666 	Y13.70448 	Z1.84604
N1604 	G01 	X18.65487 	Y13.70448 	Z1.87115
N1605 	G01 	X18.06400 	Y13.70448 	Z1.89637
N1606 	G01 	X17.47409 	Y13.70448 	Z1.92154
N1607 	G01 	X16.88518 	Y13.70448 	Z1.94647
N1608 	G01 	X16.29734 	Y13.70448 	Z1.97098
N1609 	G01 	X15.71059 	Y13.70448 	Z1.99489
N1610 	G01 	X15.12500 	Y13.70448 	Z2.01802
N1611 	G01 	X14.54061 	Y13.70448 	Z2.04020
N1612 	G01 	X13.95746 	Y13.70448 	Z2.06125
N1613 	G01 	X13.37562 	Y13.70448 	Z2.08099
N1614 	G01 	X12.79511 	Y13.70448 	Z2.09923
N1615 	G01 	X12.21600 	Y13.70448 	Z2.11581
N1616 	G01 	X11.63833 	Y13.70448 	Z2.13054
N1617 	G01 	X11.06214 	Y13.70448 	Z2.14324
N1618 	G01 	X10.48750 	Y13.70448 	Z2.15374
N1619 	G01 	X9.91443 	Y13.70448 	Z2.16185
N1620 	G01 	X9.34300 	Y13.70448 	Z2.16740
N1621 	G01 	X8.77325 	Y13.70448 	Z2.17020
N1622 	G01 	X8.20522 	Y13.70448 	Z2.17009
N1623 	G01 	X7.63898 	Y13.70448 	Z2.16688
N1624 	G01 	X7.07455 	Y13.70448 	Z2.16039
N1625 	G01 	X6.51200 	Y13.70448 	Z2.15045
N1626 	G01 	X5.95137 	Y13.70448 	Z2.13687
N1627 	G01 	X5.39270 	Y13.70448 	Z2.11947
N1628 	G01 	X4.83606 	Y13.70448 	Z2.09809
N1629 	G01 	X4.28147 	Y13.70448 	Z2.07253
N1630 	G01 	X3.72900 	Y13.70448 	Z2.04263
N1631 	G01 	X3.17869 	Y13.70448 	Z2.00819
N1632 	G01 	X2.63058 	Y13.70448 	Z1.96905
N1633 	G01 	X2.08474 	Y13.70448 	Z1.92502
N1634 	G01 	X1.54119 	Y13.70448 	Z1.87593
N1635 	G01 	X1.00000 	Y13.70448 	Z1.82159

N1636 	G01 	X1.00000 	Y13.98527 	Z1.84479
N1637 	G01 	X1.54119 	Y13.98527 	Z1.89695
N1638 	G01 	X2.08474 	Y13.98527 	Z1.94401
N1639 	G01 	X2.63058 	Y13.98527 	Z1.98612
N1640 	G01 	X3.17869 	Y13.98527 	Z2.02348
N1641 	G01 	X3.72900 	Y13.98527 	Z2.05625
N1642 	G01 	X4.28147 	Y13.98527 	Z2.08460
N1643 	G01 	X4.83606 	Y13.98527 	Z2.10873
N1644 	G01 	X5.39270 	Y13.98527 	Z2.12879
N1645 	G01 	X5.95137 	Y13.98527 	Z2.14498
N1646 	G01 	X6.51200 	Y13.98527 	Z2.15745
N1647 	G01 	X7.07455 	Y13.98527 	Z2.16639
N1648 	G01 	X7.63898 	Y13.98527 	Z2.17197
N1649 	G01 	X8.20522 	Y13.98527 	Z2.17438
N1650 	G01 	X8.77325 	Y13.98527 	Z2.17377
N1651 	G01 	X9.34300 	Y13.98527 	Z2.17033
N1652 	G01 	X9.91443 	Y13.98527 	Z2.16424
N1653 	G01 	X10.48750 	Y13.98527 	Z2.15567
N1654 	G01 	X11.06214 	Y13.98527 	Z2.14479
N1655 	G01 	X11.63833 	Y13.98527 	Z2.13178
N1656 	G01 	X12.21600 	Y13.98527 	Z2.11682
N1657 	G01 	X12.79511 	Y13.98527 	Z2.10008
N1658 	G01 	X13.37562 	Y13.98527 	Z2.08174
N1659 	G01 	X13.95746 	Y13.98527 	Z2.06197
N1660 	G01 	X14.54061 	Y13.98527 	Z2.04094
N1661 	G01 	X15.12500 	Y13.98527 	Z2.01884
N1662 	G01 	X15.71059 	Y13.98527 	Z1.99584
N1663 	G01 	X16.29734 	Y13.98527 	Z1.97211
N1664 	G01 	X16.88518 	Y13.98527 	Z1.94783
N1665 	G01 	X17.47409 	Y13.98527 	Z1.92318
N1666 	G01 	X18.06400 	Y13.98527 	Z1.89833
N1667 	G01 	X18.65487 	Y13.98527 	Z1.87345
N1668 	G01 	X19.24666 	Y13.98527 	Z1.84872
N1669 	G01 	X19.83930 	Y13.98527 	Z1.82432
N1670 	G01 	X20.43277 	Y13.98527 	Z1.80042
N1671 	G01 	X21.02700 	Y13.98527 	Z1.77720
N1672 	G01 	X21.62195 	Y13.98527 	Z1.75483
N1673 	G01 	X22.21758 	Y13.98527 	Z1.73348
N1674 	G01 	X22.81382 	Y13.98527 	Z1.71335
N1675 	G01 	X23.41065 	Y13.98527 	Z1.69459
N1676 	G01 	X24.00800 	Y13.98527 	Z1.67738
N1677 	G01 	X24.60583 	Y13.98527 	Z1.66191
N1678 	G01 	X25.20410 	Y13.98527 	Z1.64834
N1679 	G01 	X25.80274 	Y13.98527 	Z1.63685
N1680 	G01 	X26.40173 	Y13.98527 	Z1.62761
N1681 	G01 	X27.00100 	Y13.98527 	Z1.62081
N1682 	G01 	X27.60051 	Y13.98527 	Z1.61662
N1683 	G01 	X28.20022 	Y13.98527 	Z1.61520
N1684 	G01 	X28.80006 	Y13.98527 	Z1.61675
N1685 	G01 	X29.40001 	Y13.98527 	Z1.62142
N1686 	G01 	X30.00000 	Y13.98527 	Z1.62941

N1687 	G01 	X30.00000 	Y14.26606 	Z1.64041
N1688 	G01 	X29.40001 	Y14.26606 	Z1.63200
N1689 	G01 	X28.80006 	Y14.26606 	Z1.62689
N1690 	G01 	X28.20022 	Y14.26606 	Z1.62488
N1691 	G01 	X27.60051 	Y14.26606 	Z1.62581
N1692 	G01 	X27.00100 	Y14.26606 	Z1.62951
N1693 	G01 	X26.40173 	Y14.26606 	Z1.63580
N1694 	G01 	X25.80274 	Y14.26606 	Z1.64451
N1695 	G01 	X25.20410 	Y14.26606 	Z1.65547
N1696 	G01 	X24.60583 	Y14.26606 	Z1.66851
N1697 	G01 	X24.00800 	Y14.26606 	Z1.68346
N1698 	G01 	X23.41065 	Y14.26606 	Z1.70014
N1699 	G01 	X22.81382 	Y14.26606 	Z1.71838
N1700 	G01 	X22.21758 	Y14.26606 	Z1.73801
N1701 	G01 	X21.62195 	Y14.26606 	Z1.75886
N1702 	G01 	X21.02700 	Y14.26606 	Z1.78075
N1703 	G01 	X20.43277 	Y14.26606 	Z1.80351
N1704 	G01 	X19.83930 	Y14.26606 	Z1.82698
N1705 	G01 	X19.24666 	Y14.26606 	Z1.85097
N1706 	G01 	X18.65487 	Y14.26606 	Z1.87532
N1707 	G01 	X18.06400 	Y14.26606 	Z1.89985
N1708 	G01 	X17.47409 	Y14.26606 	Z1.92440
N1709 	G01 	X16.88518 	Y14.26606 	Z1.94879
N1710 	G01 	X16.29734 	Y14.26606 	Z1.97284
N1711 	G01 	X15.71059 	Y14.26606 	Z1.99639
N1712 	G01 	X15.12500 	Y14.26606 	Z2.01926
N1713 	G01 	X14.54061 	Y14.26606 	Z2.04129
N1714 	G01 	X13.95746 	Y14.26606 	Z2.06229
N1715 	G01 	X13.37562 	Y14.26606 	Z2.08210
N1716 	G01 	X12.79511 	Y14.26606 	Z2.10054
N1717 	G01 	X12.21600 	Y14.26606 	Z2.11745
N1718 	G01 	X11.63833 	Y14.26606 	Z2.13265
N1719 	G01 	X11.06214 	Y14.26606 	Z2.14597
N1720 	G01 	X10.48750 	Y14.26606 	Z2.15723
N1721 	G01 	X9.91443 	Y14.26606 	Z2.16627
N1722 	G01 	X9.34300 	Y14.26606 	Z2.17291
N1723 	G01 	X8.77325 	Y14.26606 	Z2.17697
N1724 	G01 	X8.20522 	Y14.26606 	Z2.17830
N1725 	G01 	X7.63898 	Y14.26606 	Z2.17671
N1726 	G01 	X7.07455 	Y14.26606 	Z2.17204
N1727 	G01 	X6.51200 	Y14.26606 	Z2.16411
N1728 	G01 	X5.95137 	Y14.26606 	Z2.15274
N1729 	G01 	X5.39270 	Y14.26606 	Z2.13777
N1730 	G01 	X4.83606 	Y14.26606 	Z2.11903
N1731 	G01 	X4.28147 	Y14.26606 	Z2.09634
N1732 	G01 	X3.72900 	Y14.26606 	Z2.06953
N1733 	G01 	X3.17869 	Y14.26606 	Z2.03843
N1734 	G01 	X2.63058 	Y14.26606 	Z2.00287
N1735 	G01 	X2.08474 	Y14.26606 	Z1.96267
N1736 	G01 	X1.54119 	Y14.26606 	Z1.91766
N1737 	G01 	X1.00000 	Y14.26606 	Z1.86767

N1738 	G01 	X1.00000 	Y14.54685 	Z1.89023
N1739 	G01 	X1.54119 	Y14.54685 	Z1.93804
N1740 	G01 	X2.08474 	Y14.54685 	Z1.98100
N1741 	G01 	X2.63058 	Y14.54685 	Z2.01929
N1742 	G01 	X3.17869 	Y14.54685 	Z2.05306
N1743 	G01 	X3.72900 	Y14.54685 	Z2.08249
N1744 	G01 	X4.28147 	Y14.54685 	Z2.10774
N1745 	G01 	X4.83606 	Y14.54685 	Z2.12899
N1746 	G01 	X5.39270 	Y14.54685 	Z2.14641
N1747 	G01 	X5.95137 	Y14.54685 	Z2.16016
N1748 	G01 	X6.51200 	Y14.54685 	Z2.17041
N1749 	G01 	X7.07455 	Y14.54685 	Z2.17734
N1750 	G01 	X7.63898 	Y14.54685 	Z2.18110
N1751 	G01 	X8.20522 	Y14.54685 	Z2.18187
N1752 	G01 	X8.77325 	Y14.54685 	Z2.17982
N1753 	G01 	X9.34300 	Y14.54685 	Z2.17512
N1754 	G01 	X9.91443 	Y14.54685 	Z2.16793
N1755 	G01 	X10.48750 	Y14.54685 	Z2.15842
N1756 	G01 	X11.06214 	Y14.54685 	Z2.14677
N1757 	G01 	X11.63833 	Y14.54685 	Z2.13314
N1758 	G01 	X12.21600 	Y14.54685 	Z2.11770
N1759 	G01 	X12.79511 	Y14.54685 	Z2.10063
N1760 	G01 	X13.37562 	Y14.54685 	Z2.08208
N1761 	G01 	X13.95746 	Y14.54685 	Z2.06222
N1762 	G01 	X14.54061 	Y14.54685 	Z2.04124
N1763 	G01 	X15.12500 	Y14.54685 	Z2.01929
N1764 	G01 	X15.71059 	Y14.54685 	Z1.99654
N1765 	G01 	X16.29734 	Y14.54685 	Z1.97317
N1766 	G01 	X16.88518 	Y14.54685 	Z1.94933
N1767 	G01 	X17.47409 	Y14.54685 	Z1.92521
N1768 	G01 	X18.06400 	Y14.54685 	Z1.90097
N1769 	G01 	X18.65487 	Y14.54685 	Z1.87678
N1770 	G01 	X19.24666 	Y14.54685 	Z1.85280
N1771 	G01 	X19.83930 	Y14.54685 	Z1.82921
N1772 	G01 	X20.43277 	Y14.54685 	Z1.80618
N1773 	G01 	X21.02700 	Y14.54685 	Z1.78386
N1774 	G01 	X21.62195 	Y14.54685 	Z1.76245
N1775 	G01 	X22.21758 	Y14.54685 	Z1.74209
N1776 	G01 	X22.81382 	Y14.54685 	Z1.72296
N1777 	G01 	X23.41065 	Y14.54685 	Z1.70523
N1778 	G01 	X24.00800 	Y14.54685 	Z1.68907
N1779 	G01 	X24.60583 	Y14.54685 	Z1.67465
N1780 	G01 	X25.20410 	Y14.54685 	Z1.66214
N1781 	G01 	X25.80274 	Y14.54685 	Z1.65169
N1782 	G01 	X26.40173 	Y14.54685 	Z1.64349
N1783 	G01 	X27.00100 	Y14.54685 	Z1.63771
N1784 	G01 	X27.60051 	Y14.54685 	Z1.63450
N1785 	G01 	X28.20022 	Y14.54685 	Z1.63405
N1786 	G01 	X28.80006 	Y14.54685 	Z1.63652
N1787 	G01 	X29.40001 	Y14.54685 	Z1.64207
N1788 	G01 	X30.00000 	Y14.54685 	Z1.65088

N1789 	G01 	X30.00000 	Y14.82764 	Z1.66082
N1790 	G01 	X29.40001 	Y14.82764 	Z1.65161
N1791 	G01 	X28.80006 	Y14.82764 	Z1.64563
N1792 	G01 	X28.20022 	Y14.82764 	Z1.64272
N1793 	G01 	X27.60051 	Y14.82764 	Z1.64271
N1794 	G01 	X27.00100 	Y14.82764 	Z1.64543
N1795 	G01 	X26.40173 	Y14.82764 	Z1.65071
N1796 	G01 	X25.80274 	Y14.82764 	Z1.65841
N1797 	G01 	X25.20410 	Y14.82764 	Z1.66833
N1798 	G01 	X24.60583 	Y14.82764 	Z1.68033
N1799 	G01 	X24.00800 	Y14.82764 	Z1.69424
N1800 	G01 	X23.41065 	Y14.82764 	Z1.70988
N1801 	G01 	X22.81382 	Y14.82764 	Z1.72710
N1802 	G01 	X22.21758 	Y14.82764 	Z1.74573
N1803 	G01 	X21.62195 	Y14.82764 	Z1.76560
N1804 	G01 	X21.02700 	Y14.82764 	Z1.78655
N1805 	G01 	X20.43277 	Y14.82764 	Z1.80842
N1806 	G01 	X19.83930 	Y14.82764 	Z1.83103
N1807 	G01 	X19.24666 	Y14.82764 	Z1.85422
N1808 	G01 	X18.65487 	Y14.82764 	Z1.87783
N1809 	G01 	X18.06400 	Y14.82764 	Z1.90168
N1810 	G01 	X17.47409 	Y14.82764 	Z1.92563
N1811 	G01 	X16.88518 	Y14.82764 	Z1.94949
